 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 minimum eigenvalues =    4.87990051325027        6.92011971270703     
   7.65621479288682     
 maximum eigenvalues =    9711.14308385371        3039.68504351250     
   1244.41294470520     
 num eigs kept =           32
 iter   133 lrate =  1.0000000000 LL =  -3.4066501681 nd =  0.0016441264, D =   0.40835E-01  0.40835E-01  (  0.02 s,   0.0 h)
 iter   134 lrate =  1.0000000000 LL =  -3.4065301634 nd =  0.0016462748, D =   0.40947E-01  0.40947E-01  (  0.02 s,   0.0 h)
 iter   135 lrate =  1.0000000000 LL =  -3.4064085206 nd =  0.0016573727, D =   0.41041E-01  0.41041E-01  (  0.02 s,   0.0 h)
 iter   136 lrate =  1.0000000000 LL =  -3.4062819224 nd =  0.0016702157, D =   0.41135E-01  0.41135E-01  (  0.02 s,   0.0 h)
 iter   137 lrate =  1.0000000000 LL =  -3.4061541391 nd =  0.0016808180, D =   0.41241E-01  0.41241E-01  (  0.02 s,   0.0 h)
 iter   138 lrate =  1.0000000000 LL =  -3.4060230425 nd =  0.0016821406, D =   0.41350E-01  0.41350E-01  (  0.02 s,   0.0 h)
 iter   139 lrate =  1.0000000000 LL =  -3.4058913435 nd =  0.0016699805, D =   0.41468E-01  0.41468E-01  (  0.02 s,   0.0 h)
 iter   140 lrate =  1.0000000000 LL =  -3.4057610750 nd =  0.0016449918, D =   0.41598E-01  0.41598E-01  (  0.02 s,   0.0 h)
 iter   141 lrate =  1.0000000000 LL =  -3.4056327198 nd =  0.0016135125, D =   0.41723E-01  0.41723E-01  (  0.12 s,   0.1 h)
 iter   142 lrate =  1.0000000000 LL =  -3.4055079720 nd =  0.0015860014, D =   0.41840E-01  0.41840E-01  (  0.02 s,   0.0 h)
 iter   143 lrate =  1.0000000000 LL =  -3.4053875116 nd =  0.0015530079, D =   0.41959E-01  0.41959E-01  (  0.04 s,   0.0 h)
 iter   144 lrate =  1.0000000000 LL =  -3.4052710068 nd =  0.0015183975, D =   0.42062E-01  0.42062E-01  (  0.04 s,   0.0 h)
 iter   145 lrate =  1.0000000000 LL =  -3.4051580701 nd =  0.0014807666, D =   0.42156E-01  0.42156E-01  (  0.02 s,   0.0 h)
